loan_type,loan_amount_index,previous_defaults,previous_nondefaults,previous_loan_count,cars_in_household,other_vehicles_owned,adults_in_household,children_in_household,market_segment_code,issues_needing_resolution,hmc,application_year,application_month,application_in_first_half_of_month,loan_origination,repeat_customer,mystery_field,loan_default
auto,89,0,0,0,2,5,3,0,ms296,0,0,2021,4,0,bank branch,0,54,0
auto,130,0,0,0,0,3,2,0,ms818,0,0,2021,10,1,bank branch,0,230,1
auto,128,0,0,0,1,3,2,0,ms818,3,0,2021,3,1,website,0,28,0
auto,190,0,0,0,1,1,2,2,ms301,0,0,2021,8,0,website,0,7,0
other,80,0,0,0,0,2,2,0,ms818,1,1,2020,12,1,website,0,9,0
other,101,0,0,0,2,3,2,0,ms818,0,0,2021,12,0,website,0,44,0
auto,101,0,0,0,2,1,2,0,ms296,0,0,2021,1,1,bank branch,0,152,0
auto,60,0,0,0,2,2,2,0,ms818,0,0,2021,7,0,bank branch,0,93,0
auto,120,0,0,0,0,1,2,0,ms818,0,0,2021,10,1,bank branch,0,41,0
other,64,0,0,0,2,2,2,0,ms818,1,0,2021,7,1,website,0,89,0
auto,65,0,0,0,1,0,1,0,ms818,0,0,2020,8,1,other,0,30,0
auto,87,0,0,0,0,1,1,0,ms818,0,0,2021,7,1,other,0,58,0
auto,104,0,0,0,0,3,2,0,ms818,2,0,2022,5,1,website,0,354,1
auto,63,0,0,0,2,2,2,0,ms498,0,0,2020,9,1,bank branch,0,73,0
auto,75,0,0,0,0,1,2,0,ms818,0,0,2021,11,0,other,0,22,0
residential,121,0,0,0,1,2,2,1,ms818,1,0,2021,4,0,website,0,80,0
auto,80,0,0,0,1,5,1,0,ms818,0,0,2021,2,1,website,0,363,1
other,90,0,0,0,1,0,2,0,ms818,1,0,2022,8,1,website,0,150,0
other,144,0,0,0,2,4,1,0,ms818,3,0,2022,5,1,website,0,75,0
auto,189,0,0,0,1,3,3,0,ms498,1,0,2022,6,0,website,0,89,0
auto,170,0,0,0,0,1,2,0,ms498,0,0,2022,7,1,website,0,24,0
auto,86,0,0,0,0,2,2,0,ms818,0,0,2021,7,0,bank branch,0,44,0
auto,85,0,0,0,0,3,2,0,ms818,0,0,2022,3,0,bank branch,0,75,0
auto,91,0,0,0,0,1,1,0,ms818,2,0,2020,9,0,website,0,15,0
auto,118,0,0,0,0,3,2,0,ms818,0,0,2021,10,0,website,0,55,0
auto,65,0,0,0,0,1,1,0,ms818,0,0,2021,5,0,other,0,7,0
auto,118,0,0,0,2,4,3,0,ms818,1,0,2020,7,1,bank branch,0,22,0
auto,89,0,0,0,2,1,2,0,ms818,0,0,2022,5,0,bank branch,0,68,0
other,126,0,0,0,2,1,2,0,ms818,0,0,2022,6,1,website,0,136,0
auto,120,0,0,0,0,3,1,0,ms818,0,0,2021,10,1,bank branch,0,93,0
other,101,0,0,0,0,3,2,0,ms818,1,0,2022,8,0,website,0,346,1
auto,120,0,0,0,0,3,1,0,ms818,0,0,2021,10,1,bank branch,0,83,0
residential,112,0,0,0,2,2,2,0,ms498,1,0,2021,8,0,website,0,97,0
residential,152,0,0,0,0,1,2,0,ms498,0,0,2021,3,0,website,0,27,0
auto,98,0,0,0,2,0,1,0,ms818,1,0,2022,3,1,website,0,18,0
other,88,0,0,0,0,2,2,0,ms818,0,0,2022,1,0,website,0,23,0
residential,86,0,0,0,0,3,2,0,ms818,0,0,2021,7,0,website,0,104,0
auto,209,0,0,0,0,2,3,0,ms498,2,1,2022,8,0,website,0,100,0
auto,198,0,0,0,0,1,3,0,ms296,0,0,2022,7,1,website,0,125,0
auto,75,0,0,0,2,2,1,0,ms818,0,0,2020,8,0,bank branch,0,20,0
auto,139,0,0,0,0,1,1,0,ms818,2,0,2021,2,1,website,0,26,0
other,119,0,0,0,0,1,2,0,ms818,0,0,2021,1,1,website,0,28,0
auto,115,0,0,0,2,5,1,0,ms818,0,0,2020,8,1,website,0,36,0
residential,106,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,77,0
other,124,0,0,0,0,2,2,0,ms818,1,0,2021,1,1,website,0,22,0
auto,67,0,0,0,0,1,2,0,ms818,0,0,2020,8,0,bank branch,0,292,0
auto,102,0,0,0,1,3,2,1,ms818,1,0,2021,1,1,bank branch,0,215,1
auto,160,0,0,0,0,2,1,0,ms818,0,0,2022,5,0,bank branch,0,126,1
auto,80,1,0,1,0,3,1,0,ms818,0,0,2020,8,1,bank branch,1,28,0
auto,160,0,0,0,1,1,2,1,ms818,0,0,2021,12,1,website,0,11,0
auto,150,0,0,0,0,3,2,0,ms498,1,0,2022,6,1,website,0,63,0
auto,67,0,0,0,0,2,1,0,ms818,0,0,2020,12,0,other,0,32,1
residential,115,0,0,0,0,2,2,0,ms818,1,0,2021,10,0,bank branch,0,265,1
auto,169,0,0,0,0,1,2,0,ms818,1,0,2021,1,0,website,0,5,0
residential,116,0,0,0,0,2,2,0,ms818,0,0,2020,7,1,bank branch,0,78,0
other,108,0,0,0,0,2,2,0,ms818,2,0,2022,6,0,website,0,127,0
auto,149,0,0,0,1,2,2,0,ms498,1,1,2021,9,1,website,0,58,0
auto,88,0,0,0,2,2,2,0,ms818,2,0,2021,3,0,website,0,44,0
auto,87,0,0,0,1,2,2,0,ms498,1,0,2021,5,0,website,0,36,0
auto,94,0,0,0,0,2,2,0,ms818,0,0,2021,3,0,website,0,67,1
auto,65,0,0,0,1,2,2,0,ms498,2,0,2020,9,0,website,0,96,0
auto,75,0,0,0,0,5,1,0,ms818,0,0,2021,3,0,website,0,106,1
auto,156,0,0,0,0,2,2,0,ms818,1,0,2021,12,1,website,0,25,1
auto,75,0,0,0,1,4,2,0,ms818,1,0,2021,4,1,bank branch,0,79,0
auto,106,0,0,0,0,3,2,0,ms498,1,0,2022,3,1,website,0,84,0
auto,207,0,0,0,0,3,2,2,ms301,2,0,2021,8,1,website,0,28,0
auto,137,0,0,0,0,3,3,0,ms818,0,0,2021,7,1,website,0,29,1
auto,131,0,0,0,0,5,2,0,ms498,1,0,2021,10,0,website,0,36,0
auto,95,0,0,0,0,2,1,0,ms498,2,0,2022,4,1,other,0,39,0
other,71,0,0,0,1,3,2,0,ms818,1,0,2021,7,1,website,0,46,0
auto,115,0,0,0,2,1,1,0,ms818,0,0,2021,2,1,bank branch,0,117,1
auto,79,0,0,0,2,2,2,0,ms818,0,0,2021,2,0,bank branch,0,126,0
auto,89,0,0,0,0,3,2,0,ms818,0,0,2022,5,1,bank branch,0,140,0
residential,82,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,56,0
residential,267,0,0,0,0,3,3,0,ms498,0,0,2022,6,0,website,0,47,1
auto,89,0,0,0,0,4,2,0,ms818,0,0,2022,5,1,bank branch,0,120,0
auto,132,0,0,0,0,4,2,0,ms498,2,0,2021,2,0,website,0,91,0
auto,116,0,0,0,1,3,3,0,ms498,1,0,2021,9,1,website,0,132,0
auto,191,0,0,0,0,2,2,2,ms301,0,0,2021,2,1,website,0,116,1
other,142,0,0,0,0,2,2,0,ms818,1,0,2021,3,1,website,0,57,0
auto,119,0,0,0,0,1,2,0,ms818,0,0,2021,1,0,website,0,29,0
auto,130,0,0,0,2,2,2,0,ms818,2,0,2021,1,0,website,0,160,0
other,86,0,0,0,0,1,2,0,ms818,1,0,2021,8,0,website,0,108,0
auto,75,0,0,0,0,1,2,0,ms818,0,0,2022,5,1,bank branch,0,344,0
auto,147,0,0,0,2,2,1,0,ms498,1,0,2021,3,1,website,0,103,1
auto,108,0,0,0,1,3,2,0,ms498,0,0,2021,9,0,website,0,153,0
other,86,0,0,0,2,2,2,0,ms818,0,1,2022,1,1,website,0,10,0
other,89,0,0,0,0,2,2,0,ms818,1,0,2022,8,1,website,0,338,1
auto,123,0,0,0,2,2,3,0,ms498,0,0,2021,2,0,website,0,198,1
auto,126,0,0,0,1,5,2,0,ms498,1,0,2022,6,0,website,0,139,1
auto,130,0,0,0,1,0,1,0,ms818,0,0,2021,1,0,website,0,39,0
residential,91,0,0,0,2,2,2,0,ms818,1,0,2022,1,0,website,0,20,0
auto,157,0,0,0,0,3,3,0,ms498,2,0,2021,8,0,website,0,28,0
auto,218,0,0,0,2,1,3,0,ms498,1,0,2022,8,0,website,0,13,0
residential,139,0,0,0,2,1,3,0,ms818,0,0,2020,11,0,bank branch,0,108,0
auto,150,0,0,0,0,3,3,0,ms498,0,0,2021,10,0,website,0,66,1
residential,107,0,0,0,2,1,2,0,ms818,1,0,2021,7,0,bank branch,0,137,0
auto,101,0,0,0,0,1,1,0,ms818,0,0,2021,8,1,website,0,33,0
auto,86,0,0,0,2,5,2,0,ms818,0,0,2021,12,1,bank branch,0,134,0
auto,86,0,0,0,1,0,2,0,ms818,0,0,2021,1,0,bank branch,0,41,0
auto,60,0,0,0,0,3,2,0,ms818,0,0,2021,7,0,bank branch,0,130,0
other,150,0,0,0,1,1,2,0,ms818,2,0,2022,5,1,website,0,28,0
other,95,0,0,0,1,1,2,0,ms818,0,0,2021,9,0,website,0,143,0
auto,139,0,0,0,1,4,2,0,ms818,2,0,2020,7,1,website,0,38,0
other,89,0,0,0,1,3,2,0,ms818,0,0,2022,7,0,website,0,155,1
auto,141,0,0,0,2,1,2,0,ms818,2,0,2021,9,0,website,0,33,0
auto,167,0,0,0,1,2,3,0,ms498,2,0,2021,12,1,website,0,33,0
auto,82,0,0,0,2,2,2,0,ms818,0,0,2021,4,0,website,0,10,0
other,107,0,0,0,0,3,2,0,ms818,1,0,2021,3,1,website,0,82,0
auto,0,0,0,0,2,3,1,0,ms818,0,0,2020,7,0,website,0,210,0
auto,70,0,0,0,1,2,1,0,ms818,0,0,2021,10,0,bank branch,0,12,0
other,69,0,0,0,1,2,2,0,ms818,1,0,2021,10,0,website,0,77,0
other,140,0,0,0,0,2,2,0,ms818,2,0,2021,2,0,website,0,27,0
auto,125,0,0,0,2,4,2,0,ms818,0,0,2022,8,0,bank branch,0,101,0
auto,52,0,0,0,0,2,2,0,ms818,0,0,2021,4,1,bank branch,0,343,0
auto,88,0,0,0,2,1,2,0,ms818,2,0,2021,11,1,website,0,128,0
auto,131,0,0,0,0,4,3,0,ms498,0,0,2022,2,0,website,0,23,0
auto,64,0,0,0,1,2,2,0,ms818,0,0,2021,5,0,other,0,52,0
other,140,0,0,0,0,1,2,0,ms818,1,0,2022,6,1,website,0,36,0
auto,103,0,0,0,0,3,2,0,ms818,0,0,2021,10,0,website,0,75,0
residential,112,0,0,0,1,2,2,0,ms818,0,1,2021,6,1,bank branch,0,21,0
residential,187,0,0,0,2,3,2,2,ms301,0,0,2020,8,0,bank branch,0,55,0
auto,91,0,0,0,0,3,2,0,ms818,0,0,2021,6,1,website,0,33,1
auto,195,0,0,0,0,1,1,0,ms498,2,0,2021,1,0,website,0,27,0
auto,75,0,4,4,0,2,2,0,ms818,1,0,2021,3,0,other,1,24,0
auto,59,0,0,0,2,1,2,0,ms818,0,0,2020,11,1,website,0,69,0
other,0,0,0,0,2,1,2,0,ms818,1,0,2022,5,0,website,0,22,0
other,160,0,0,0,0,1,1,0,ms818,2,0,2022,6,0,website,0,7,0
auto,143,0,0,0,0,1,2,0,ms818,1,0,2020,7,1,website,0,8,0
auto,130,0,0,0,0,2,1,0,ms818,0,0,2021,10,1,bank branch,0,203,1
auto,76,0,0,0,1,2,1,0,ms818,0,0,2021,9,0,bank branch,0,204,0
auto,142,0,0,0,2,1,3,0,ms498,0,0,2021,2,0,website,0,94,0
other,89,0,0,0,1,0,1,0,ms818,0,0,2021,8,1,website,0,16,0
auto,94,0,0,0,1,2,1,0,ms818,2,0,2022,3,0,website,0,217,0
auto,73,0,0,0,2,3,2,0,ms818,0,0,2022,2,0,website,0,6,0
auto,75,0,0,0,0,1,1,0,ms818,0,0,2022,1,1,other,0,44,1
other,112,0,0,0,2,1,2,0,ms818,0,0,2022,5,0,website,0,160,0
other,58,0,0,0,2,2,2,0,ms818,1,0,2021,3,0,website,0,28,0
auto,58,0,0,0,2,2,2,0,ms818,1,0,2020,10,0,bank branch,0,26,0
auto,70,0,0,0,2,3,1,0,ms818,0,0,2021,2,1,bank branch,0,369,0
auto,72,0,0,0,2,2,2,0,ms498,1,0,2021,7,0,website,0,98,0
auto,134,0,0,0,2,2,2,0,ms818,1,0,2021,9,1,website,0,29,0
auto,65,0,0,0,0,2,1,0,ms818,0,0,2020,12,1,other,0,11,0
auto,94,0,0,0,0,2,2,0,ms818,0,0,2022,2,1,website,0,103,1
auto,136,0,0,0,0,1,2,0,ms818,0,0,2022,5,0,bank branch,0,67,0
residential,211,0,0,0,2,0,3,0,ms498,2,0,2021,9,1,website,0,124,1
auto,179,0,0,0,1,3,2,0,ms818,2,0,2021,3,1,website,0,72,0
auto,105,0,0,0,0,4,2,0,ms818,0,0,2021,8,0,website,0,72,0
auto,170,0,0,0,2,2,2,0,ms498,1,0,2022,5,1,website,0,49,0
auto,185,0,0,0,0,1,1,0,ms818,0,0,2022,5,0,website,0,10,0
auto,96,0,0,0,2,3,2,0,ms650,1,0,2021,12,0,website,0,150,0
auto,117,0,0,0,2,1,2,0,ms818,1,0,2022,4,1,website,0,73,0
auto,80,0,0,0,1,3,2,0,ms498,0,0,2022,3,1,website,0,27,0
other,55,0,0,0,1,4,1,0,ms818,0,0,2021,5,0,website,0,32,0
auto,210,0,0,0,0,1,3,2,ms604,1,0,2022,4,1,website,0,81,1
auto,95,0,0,0,0,3,2,0,ms818,0,0,2021,9,1,bank branch,0,18,0
auto,86,0,0,0,1,3,2,0,ms818,0,0,2021,2,0,bank branch,0,50,0
auto,106,0,0,0,0,3,2,0,ms818,1,0,2021,7,1,website,0,17,0
auto,125,0,0,0,0,2,1,0,ms818,0,0,2021,2,1,bank branch,0,19,0
auto,67,0,3,3,2,0,1,0,ms818,1,1,2021,2,0,other,1,3,0
auto,75,0,0,0,0,2,2,0,ms818,1,0,2022,3,0,bank branch,0,27,0
other,120,0,0,0,1,0,2,0,ms818,1,0,2022,6,1,website,0,50,0
auto,108,0,0,0,2,3,2,0,ms498,1,0,2021,8,1,website,0,78,0
auto,99,0,0,0,2,5,2,0,ms818,1,0,2021,12,0,website,0,143,0
auto,65,0,19,19,0,1,1,0,ms818,1,0,2021,8,1,other,1,8,0
auto,79,0,0,0,0,1,1,0,ms818,0,0,2021,5,0,website,0,12,0
residential,87,0,0,0,0,2,1,0,ms818,0,0,2020,11,0,bank branch,0,288,0
auto,128,0,0,0,0,1,1,0,ms498,2,0,2022,2,1,website,0,22,0
auto,48,0,0,0,1,5,2,0,ms818,1,0,2021,7,1,bank branch,0,138,0
auto,65,0,0,0,2,2,2,0,ms818,0,0,2020,10,1,bank branch,0,144,0
auto,63,0,0,0,1,2,2,0,ms818,0,0,2021,7,1,bank branch,0,51,0
auto,99,0,0,0,2,0,2,0,ms818,1,0,2022,6,0,bank branch,0,192,0
auto,0,0,0,0,0,2,2,0,ms818,1,0,2022,3,1,other,0,41,0
auto,0,3,13,16,0,2,1,0,ms296,1,0,2021,7,1,other,1,23,0
auto,97,0,0,0,1,2,2,0,ms818,1,0,2022,3,0,website,0,96,0
auto,76,0,0,0,1,4,2,0,ms818,1,1,2020,7,0,website,0,47,0
auto,81,0,0,0,2,1,2,0,ms818,1,0,2021,2,0,bank branch,0,99,0
auto,115,0,0,0,2,1,1,0,ms818,0,0,2021,2,1,bank branch,0,106,1
auto,105,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,91,0
auto,153,0,0,0,0,2,2,1,ms818,1,1,2022,7,0,website,0,143,0
residential,109,0,0,0,0,2,2,0,ms818,0,0,2020,12,1,bank branch,0,63,0
other,89,0,0,0,1,0,2,0,ms818,0,0,2021,9,1,website,0,6,0
auto,89,0,0,0,0,1,2,0,ms818,0,0,2022,5,1,bank branch,0,307,0
auto,75,0,0,0,0,1,2,0,ms818,0,0,2021,8,1,bank branch,0,109,1
auto,81,0,0,0,1,3,2,0,ms818,0,0,2021,10,1,bank branch,0,78,0
auto,88,0,0,0,1,4,2,0,ms818,2,0,2021,3,1,website,0,55,0
auto,83,0,0,0,2,5,2,0,ms818,1,0,2022,8,0,website,0,163,1
other,91,0,0,0,0,3,2,0,ms818,1,0,2022,7,0,website,0,93,0
auto,68,0,0,0,0,1,1,0,ms818,1,0,2021,6,0,other,0,22,0
auto,80,0,0,0,1,0,1,0,ms818,0,0,2021,5,0,website,0,15,0
residential,95,0,0,0,2,1,2,0,ms818,0,0,2020,12,1,bank branch,0,146,0
auto,149,0,0,0,1,3,2,0,ms498,1,0,2021,1,1,website,0,72,0
auto,165,0,0,0,2,1,2,2,ms301,3,0,2020,7,1,website,0,26,0
other,108,0,0,0,0,3,2,0,ms818,0,0,2022,7,1,website,0,117,0
auto,290,0,0,0,0,2,2,0,ms604,1,0,2022,5,1,website,0,27,0
auto,85,0,0,0,0,3,2,0,ms818,0,0,2021,2,0,bank branch,0,31,0
auto,95,0,0,0,1,2,1,0,ms818,1,0,2020,7,0,other,0,27,0
auto,120,0,0,0,0,1,2,0,ms818,0,0,2021,10,1,bank branch,0,73,0
auto,66,0,0,0,2,1,2,0,ms818,0,0,2021,6,1,bank branch,0,37,0
auto,122,0,0,0,1,5,2,0,ms498,2,0,2021,10,1,website,0,150,0
other,104,0,0,0,1,4,2,0,ms818,1,0,2021,11,1,website,0,96,0
auto,95,0,1,1,2,2,1,0,ms818,0,0,2022,6,1,other,1,15,0
auto,154,0,0,0,0,1,3,0,ms498,2,0,2021,4,1,website,0,7,0
auto,90,0,0,0,1,2,2,0,ms498,0,0,2021,8,1,website,0,111,0
auto,80,0,0,0,0,1,1,0,ms818,0,0,2022,8,1,other,0,9,0
auto,139,0,0,0,0,1,2,1,ms818,1,0,2021,12,1,website,0,18,0
auto,77,0,0,0,0,3,2,0,ms818,0,0,2020,12,0,website,0,110,0
other,76,0,0,0,1,4,2,0,ms818,1,0,2022,6,0,website,0,230,0
auto,92,0,0,0,2,2,2,0,ms818,1,0,2022,2,1,website,0,35,0
auto,175,0,0,0,2,1,2,2,ms301,2,0,2021,7,0,website,0,65,0
residential,86,0,0,0,2,1,1,0,ms818,0,0,2021,7,0,bank branch,0,127,0
other,55,0,0,0,1,4,2,0,ms818,1,0,2022,2,1,website,0,18,0
auto,121,0,0,0,0,4,2,0,ms498,1,0,2021,11,1,website,0,156,1
auto,75,0,0,0,2,1,2,0,ms818,0,0,2022,2,1,bank branch,0,42,0
auto,132,0,0,0,0,4,2,0,ms498,1,0,2022,8,0,website,0,57,0
auto,147,0,0,0,0,1,3,0,ms498,3,0,2021,11,1,website,0,119,0
other,86,0,0,0,2,0,2,0,ms818,2,0,2021,11,1,website,0,135,0
auto,80,1,9,10,0,1,1,0,ms818,3,0,2022,1,0,other,1,3,0
residential,86,0,0,0,2,1,1,0,ms818,0,0,2021,7,0,bank branch,0,131,0
auto,91,0,0,0,0,1,2,0,ms818,1,0,2021,2,1,website,0,141,0
other,95,0,0,0,0,2,2,0,ms818,1,0,2020,9,1,website,0,24,0
other,61,0,0,0,2,1,2,0,ms818,0,0,2022,2,1,website,0,53,0
residential,102,0,0,0,0,2,2,0,ms818,0,0,2020,12,1,bank branch,0,45,0
other,128,0,0,0,0,1,2,0,ms818,0,0,2021,12,0,website,0,21,0
other,91,0,0,0,1,3,2,0,ms818,2,1,2021,2,0,website,0,62,0
auto,122,0,0,0,0,4,3,0,ms498,2,0,2021,3,1,website,0,60,0
auto,39,0,0,0,1,2,2,0,ms818,0,0,2021,7,0,bank branch,0,94,0
residential,100,0,0,0,0,5,2,0,ms818,3,0,2022,1,1,bank branch,0,139,0
auto,80,0,0,0,0,1,1,0,ms818,0,0,2021,5,0,other,0,32,0
other,99,0,0,0,0,2,2,0,ms818,5,0,2022,8,0,website,0,219,0
auto,2,0,0,0,0,1,2,0,ms818,1,0,2021,7,0,website,0,18,0
other,88,0,0,0,0,1,2,0,ms818,1,0,2021,4,1,website,0,44,0
auto,150,0,0,0,0,2,1,0,ms818,1,0,2022,7,0,website,0,32,0
auto,80,0,0,0,0,3,1,0,ms818,0,0,2020,10,1,other,0,48,0
auto,0,0,0,0,2,0,1,0,ms818,0,0,2021,1,0,other,0,24,0
auto,91,0,0,0,2,0,2,0,ms818,0,0,2020,8,1,bank branch,0,80,0
auto,144,0,0,0,1,2,2,0,ms818,1,0,2022,5,0,website,0,119,0
auto,160,0,0,0,2,1,2,0,ms818,1,0,2022,6,1,website,0,43,0
auto,196,0,0,0,2,2,3,0,ms604,2,0,2021,9,0,website,0,57,0
residential,116,0,0,0,0,2,2,0,ms818,0,0,2021,7,0,website,0,44,1
auto,115,0,0,0,0,2,1,0,ms818,0,0,2021,8,0,bank branch,0,111,1
other,85,0,0,0,0,4,2,0,ms818,0,0,2021,8,0,website,0,112,1
auto,90,0,0,0,0,2,2,0,ms818,0,0,2022,3,1,website,0,217,1
auto,96,0,0,0,1,1,1,0,ms818,1,0,2021,7,1,website,0,23,0
auto,117,0,0,0,2,2,2,0,ms818,4,0,2022,4,1,website,0,107,0
auto,169,0,0,0,1,2,1,0,ms818,0,0,2021,3,1,website,0,50,0
other,89,0,0,0,2,2,2,0,ms818,0,0,2022,6,1,bank branch,0,51,0
auto,108,0,0,0,1,4,3,0,ms296,0,0,2022,1,1,website,0,41,0
auto,68,0,0,0,2,3,2,0,ms818,0,0,2022,3,0,bank branch,0,88,0
auto,95,0,0,0,0,1,1,0,ms818,1,0,2021,10,1,website,0,36,0
auto,64,0,0,0,0,1,2,0,ms818,1,0,2020,12,0,bank branch,0,137,0
auto,70,0,0,0,0,4,2,0,ms818,0,0,2020,10,1,bank branch,0,119,0
residential,195,0,0,0,2,3,3,0,ms818,0,0,2021,12,1,bank branch,0,42,0
other,140,0,0,0,2,1,2,0,ms818,2,0,2022,8,1,website,0,52,0
auto,75,0,0,0,0,2,1,0,ms818,0,0,2021,1,0,bank branch,0,65,0
auto,152,0,0,0,0,2,2,0,ms818,2,0,2021,2,1,website,0,32,0
auto,128,0,0,0,0,1,2,0,ms818,1,0,2021,2,0,website,0,60,0
auto,128,0,0,0,0,2,1,0,ms498,1,0,2021,8,0,website,0,93,1
auto,76,0,0,0,2,1,1,0,ms818,0,0,2021,6,0,bank branch,0,125,0
auto,77,0,0,0,1,2,1,0,ms818,0,0,2020,7,1,bank branch,0,235,0
auto,90,0,0,0,2,1,2,0,ms818,0,0,2022,4,0,bank branch,0,401,1
auto,98,0,0,0,2,5,2,0,ms498,4,0,2021,3,1,website,0,61,0
auto,91,0,0,0,1,2,2,0,ms818,1,0,2021,2,1,bank branch,0,344,0
other,88,0,0,0,2,2,2,0,ms818,0,0,2022,1,1,website,0,10,0
other,98,0,0,0,2,1,1,0,ms818,1,0,2021,9,0,website,0,57,0
auto,75,0,0,0,2,1,2,0,ms818,0,0,2022,2,0,bank branch,0,35,0
auto,86,0,0,0,2,5,2,0,ms818,0,0,2020,12,0,website,0,22,0
residential,130,0,0,0,1,3,2,0,ms498,0,0,2021,4,0,website,0,170,0
auto,99,0,0,0,0,4,2,0,ms498,1,0,2022,5,1,website,0,87,0
other,129,0,0,0,0,1,1,0,ms818,1,0,2021,10,0,website,0,21,0
other,95,0,0,0,2,2,2,0,ms818,1,0,2021,11,0,website,0,120,0
auto,77,0,0,0,1,3,2,0,ms818,0,0,2020,7,0,bank branch,0,29,0
auto,113,0,0,0,2,1,2,0,ms818,1,0,2021,12,0,website,0,55,0
other,99,0,0,0,0,1,2,0,ms818,0,0,2021,1,1,website,0,71,1
other,72,0,0,0,2,2,2,0,ms818,0,1,2021,7,0,bank branch,0,27,0
auto,120,0,0,0,1,2,2,0,ms818,1,0,2021,10,1,website,0,167,0
auto,67,0,7,7,1,0,1,0,ms818,0,1,2022,1,0,other,1,42,0
auto,56,0,0,0,1,5,1,0,ms818,1,0,2021,7,1,other,0,15,0
auto,117,0,0,0,2,2,2,0,ms818,4,0,2022,4,1,website,0,107,0
residential,102,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,81,0
other,120,0,0,0,0,3,2,0,ms818,1,0,2022,7,1,website,0,82,0
other,139,0,0,0,0,4,2,0,ms818,1,0,2021,12,1,website,0,31,0
other,125,0,0,0,0,3,2,0,ms818,2,0,2022,8,1,website,0,126,1
auto,99,0,0,0,2,1,2,0,ms818,0,0,2022,4,0,bank branch,0,156,0
auto,65,0,0,0,2,5,2,0,ms818,3,0,2021,3,1,website,0,60,0
other,130,0,0,0,2,2,2,0,ms818,1,0,2022,7,1,website,0,43,0
auto,100,0,0,0,0,4,2,0,ms498,0,0,2022,2,1,website,0,25,0
auto,176,0,0,0,0,1,3,0,ms498,0,0,2022,8,1,website,0,182,1
other,70,0,0,0,0,1,1,0,ms818,0,0,2022,3,1,website,0,28,0
residential,91,0,0,0,0,2,1,0,ms818,0,0,2021,1,0,bank branch,0,262,0
auto,98,0,0,0,2,4,2,0,ms818,0,0,2022,6,0,website,0,155,0
auto,105,0,0,0,0,3,2,0,ms818,0,0,2021,2,1,bank branch,0,40,0
auto,181,0,0,0,1,1,1,0,ms296,0,0,2021,11,0,bank branch,0,17,0
other,88,0,0,0,0,1,1,0,ms818,1,0,2022,2,1,website,0,23,0
other,71,0,0,0,1,0,1,0,ms818,0,0,2021,9,0,bank branch,0,9,0
other,79,0,0,0,0,2,2,0,ms818,0,0,2022,3,1,website,0,82,0
auto,146,0,0,0,0,1,2,1,ms818,2,1,2021,1,1,website,0,74,0
auto,136,0,0,0,0,1,2,0,ms498,1,0,2021,10,1,website,0,2,0
